CALCULATED SOCME BETWEEN TRIPLETS AND SINGLETS                  
      --------------------------------------------------------------------------------
           Root                          <T|HSO|S>  (Re, Im) cm-1                     
         T      S             Z                     X                     Y           
      --------------------------------------------------------------------------------
         1      0    (   0.00 ,    0.29 )    (   0.00 ,    0.00 )    (  -0.00 ,    0.01 )
         1      1    (   0.00 ,    0.02 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.00 )
         1      2    (   0.00 ,    0.01 )    (   0.00 ,   -0.06 )    (  -0.00 ,   -0.21 )
         1      3    (   0.00 ,    0.02 )    (   0.00 ,   -0.16 )    (  -0.00 ,    0.08 )
         1      4    (   0.00 ,    0.02 )    (   0.00 ,    0.14 )    (  -0.00 ,   -0.07 )
         1      5    (   0.00 ,   -0.00 )    (   0.00 ,   -0.01 )    (  -0.00 ,    0.03 )
         1      6    (   0.00 ,    0.01 )    (   0.00 ,    0.00 )    (  -0.00 ,    0.00 )
         1      7    (   0.00 ,   -0.75 )    (   0.00 ,   -0.00 )    (  -0.00 ,   -0.03 )
         1      8    (   0.00 ,   -0.32 )    (   0.00 ,   -0.00 )    (  -0.00 ,   -0.01 )
         1      9    (   0.00 ,   -0.03 )    (   0.00 ,    0.11 )    (  -0.00 ,    0.75 )
         1     10    (   0.00 ,    0.00 )    (   0.00 ,    0.05 )    (  -0.00 ,   -0.13 )
         2      0    (   0.00 ,   -0.15 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.02 )
         2      1    (   0.00 ,   -0.06 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.00 )
         2      2    (   0.00 ,   -0.00 )    (   0.00 ,   -0.07 )    (  -0.00 ,    0.06 )
         2      3    (   0.00 ,    0.00 )    (   0.00 ,   -0.05 )    (  -0.00 ,    0.01 )
         2      4    (   0.00 ,    0.01 )    (   0.00 ,    0.04 )    (  -0.00 ,   -0.01 )
         2      5    (   0.00 ,   -0.01 )    (   0.00 ,   -0.01 )    (  -0.00 ,   -0.03 )
